category_name,category_id
Cars & SUV Toys,6169850
Mens Boots,1228549
Womens Workout Shirts,3543697
Womens Slide Slippers,4597267
Women's Multivitamins,7876423
Snack Bars,2725989
Womens Swimsuit Bottoms,7214758
Pillow Shams,6941101
Baby Itching & Rash Treatments,3278474
Sandals & Flip-Flops,1372134
Depend for Women,2134289
Womens Swimsuits,163846
White Headboards,1364743
Bikinis,1225398
Baby Boys Dressy Outfit Sets,1466719
Bathroom Cleaners,1072125
High School Supplies,5681475
Big and Tall Polo Shirts,1224689
Girls T Shirts,8039735
Toddler Girls One-piece Swimsuits,4908917
Kids Multi Packs,9469420
Young Adult Dresses,4843377
Plastic Outdoor Rugs,3251277
Mens Swim Trunks,9967862
Black Scrubs,6497014
No Pull Dog Harnesses,2235482
Wedge Heels,5174252
Child Life Jackets,7751506
Shop All Slow Cookers,7337075
Gold Earrings,1451254
Juniors Activewear,640019
Young Adult Clothing,6258311
Plus Size Tunic Tops,3370223
Pantry staples,6130000
Womens Denim Overalls,8873892
3 Piece Patio Dining Set,9229285
Womens Slides,4185284
Flat Sheets,1554394
Womens Footbed Sandals,3389536
Girls Skirts and Scooters,5015171
Princess Baby & Toddler Costumes,2038751
Aveeno Hair Care,2212334
Bathroom Sets,1481425
Boys Athletic Shorts and Pants,4828295
Mens Work Coveralls,6526879
Shop Bedding,5059842
Socks,3477427
Orthopedic Dog Beds,1750034
Fruit of the Loom Boxer Briefs,3502974
Baby Girls Swimsuit Cover-ups,7679674
Womens Workwear Skirts,9507023
Outdoor Chaise Lounges,6290878
Bath Towels,1030320
Liquid Foundation,2224211
Memory Foam Mattresses,414609
Jockey Panties,4515498
Condensed soup,4835238
Workout Tank Tops,5944542
DreamBone,8124281
Mens Walking Shoes,8054680
Juniors Blouses & Shirts,1225061
Hand Creams,2510017
Hot Cereal & Grits,3816998
Womens Ankle Socks,2599712
High Support,3385735
Plaid Pajamas,5232749
Plus Size T-Shirt Bras,7222959
Scrub Tops,7501495
Mens Shoes,426207
Beach Towels,1113072
Dr Teal's Bubble Bath,5557551
Propane Gas Grills,9965323
Outdoor Dog Beds,1307684
All Dog Kennels,2479219
Boys Tshirts,3896862
Mens Body Wash,2531574
Womens Thermal Underwear,1228573
Girls Rompers,5739306
Girls Pajama Sets,1879395
Mens Slippers,1228550
Canopies,9530923
Air Car Seat Cushions,3028948
Scented Candles,6102022
Mattress Pads,2191391
Cat Litter Mats,8788022
Gender Neutral Newborn Baby Clothing,7551884
Reebok Mens Shoes,2428569
